,v,v_err,i,i_err,vi,vi_err,x,y
3109,19.414,0.004,18.646,0.004,0.768,0.0057,2861.117,3208.788
3110,19.362,0.01,18.606,0.009,0.756,0.0135,2843.34,3255.61
3111,18.226,0.002,17.535,0.003,0.691,0.0036,2849.104,3349.201
3112,18.907,0.004,18.188,0.006,0.719,0.0072,2858.921,3344.274
3113,18.757,0.006,18.021,0.005,0.736,0.0078,2861.062,3358.468
3114,18.704,0.004,17.992,0.007,0.712,0.0081,2857.106,3383.577
3115,17.27,0.002,16.508,0.011,0.762,0.0112,2844.511,3601.196
3116,17.549,0.011,16.844,0.006,0.705,0.0125,2862.446,3645.845
3117,18.714,0.005,18.015,0.007,0.699,0.0086,2851.236,3742.54
3118,17.793,0.007,17.109,0.005,0.684,0.0086,2847.861,3836.793
3119,18.034,0.006,17.353,0.005,0.681,0.0078,2859.387,3834.747
3120,17.325,0.0017,16.529,0.004,0.796,0.0044,2851.944,3894.53
3121,16.907,0.0063,16.061,0.0064,0.846,0.009,2856.59,3987.307
3122,19.437,0.019,18.656,0.012,0.781,0.0225,2874.937,2989.429
3123,18.068,0.015,17.393,0.007,0.675,0.0166,2877.875,3117.646
3124,18.622,0.007,17.913,0.007,0.709,0.0099,2881.589,3247.366
3125,18.141,0.008,17.457,0.005,0.684,0.0094,2886.525,3317.513
3126,18.712,0.01,17.993,0.005,0.719,0.0112,2886.76,3441.191
3127,18.917,0.013,18.188,0.006,0.729,0.0143,2876.1,3557.775
3128,18.357,0.01,17.665,0.013,0.692,0.0164,2874.983,3684.745
3129,18.255,0.009,17.571,0.001,0.684,0.0091,2883.364,3792.166
3130,18.567,0.001,17.874,0.01,0.693,0.01,2886.496,3800.464
3131,18.188,0.0025,17.507,0.005,0.681,0.0056,2868.604,3909.134
3132,18.76,0.011,18.046,0.006,0.714,0.0125,2871.888,3944.13
3133,18.391,0.016,17.647,0.011,0.744,0.0194,2905.351,2989.379
3134,19.151,0.028,18.419,0.011,0.732,0.0301,2897.372,3043.664
3135,17.758,0.011,17.078,0.008,0.68,0.0136,2912.047,3106.139
3136,19.195,0.007,18.442,0.003,0.753,0.0076,2912.241,3148.042
3137,18.936,0.006,18.213,0.01,0.723,0.0117,2893.479,3242.67
3138,18.135,0.002,17.451,0.004,0.684,0.0045,2888.341,3669.893
3139,19.302,0.015,18.55,0.012,0.752,0.0192,2888.723,3872.599
3140,19.301,0.004,18.48,0.008,0.821,0.0089,2916.384,3004.218
3141,17.398,0.019,16.659,0.011,0.739,0.022,2917.508,3028.633
3142,19.144,0.011,18.404,0.018,0.74,0.0211,2915.195,3093.681
3143,18.165,0.018,17.485,0.003,0.68,0.0182,2931.455,3118.761
3145,19.021,0.005,18.287,0.015,0.734,0.0158,2929.028,3236.273
3146,19.048,0.015,18.309,0.009,0.739,0.0175,2927.509,3241.504
3147,17.46,0.01,16.735,0.008,0.725,0.0128,2934.489,3252.435
3148,17.964,0.002,17.275,0.004,0.689,0.0045,2924.814,3264.46
3149,18.894,0.007,18.156,0.013,0.738,0.0148,2932.023,3369.554
3150,17.717,0.001,17.025,0.013,0.692,0.013,2932.066,3489.697
3151,18.295,0.008,17.606,0.004,0.689,0.0089,2927.775,3576.764
3152,19.079,0.005,18.325,0.008,0.754,0.0094,2917.128,3862.265
3153,17.426,0.0,16.709,0.006,0.717,0.006,2926.568,3963.171
3154,19.277,0.031,18.532,0.009,0.745,0.0323,2960.337,3011.336
