InputX InputY InputF606W InputF814W OutputX OutputY OutputF606W OutputF814W
1825.767 421.031 -12.252422812593444 -12.09326359005319 1825.767 421.031 -12.241433055349187 -12.105261380234673
1813.694 444.572 -11.761326681684743 -11.663530444263824 1813.694 444.572 -11.757698171989034 -11.667606494627762
1816.999 504.541 -10.777151842808397 -10.821744850314452 1816.999 504.541 -10.778215453721064 -10.820473713584562
1820.62 961.871 -11.807234895122214 -11.707119303694693 1820.62 961.871 -11.804874289308795 -11.70975999174932
1862.525 422.451 -11.93442281259344 -11.80826359005319 1862.525 422.451 -11.925565591797223 -11.818090182877203
1846.831 581.142 -12.060278136969764 -11.913159012742444 1846.831 581.142 -12.046956357315775 -11.927819261274298
1850.929 657.429 -13.093981200385201 -12.891955697760093 1850.929 657.429 -13.086606214542233 -12.899590804660441
1843.339 763.862 -12.5836179486883 -12.422709100623884 1843.339 763.862 -12.583831856379849 -12.422480049990579
1862.27 841.523 -11.73098948964632 -11.658291225964959 1862.27 841.523 -11.738171291887983 -11.650223619675945
1877.5 425.382 -11.34142281259344 -11.289263590053189 1877.5 425.382 -11.33556335788721 -11.296017883167025
1868.88 458.265 -12.183422812593438 -12.055263590053187 1868.88 458.265 -12.184986056692242 -12.053556957751578
1880.697 467.881 -10.807422812593444 -10.855263590053191 1880.697 467.881 -10.81249979707103 -10.849224009838178
1886.46 613.874 -11.241958253000501 -11.21261130976157 1886.46 613.874 -11.2407978071389 -11.213954884146588
1872.301 743.431 -12.802617948688301 -12.64270910062389 1872.301 743.431 -12.8097990474262 -12.635136615856833
1866.185 786.335 -10.813865224041741 -10.840873876029633 1866.185 786.335 -10.809186941102002 -10.846439160936022
1877.026 808.154 -13.074927994635377 -12.871582975998518 1877.026 808.154 -13.06657174827426 -12.880276842234618
1864.378 868.729 -12.648865224041739 -12.493873876029632 1864.378 868.729 -12.654082587665567 -12.488308206003737
1864.662 916.054 -13.542234895122213 -13.349119303694692 1864.662 916.054 -13.541555942677661 -13.349780182361172
1864.513 936.277 -12.185517461936747 -12.043973960110364 1864.513 936.277 -12.180501910656481 -12.049449561669853
1906.655 427.561 -13.851977882767752 -13.679968012665938 1906.655 427.561 -13.848247995106366 -13.68316075318005
1893.138 537.325 -11.333986385717871 -11.29496550804986 1893.138 537.325 -11.334142641414402 -11.294785389450436
1894.99 648.137 -13.157981200385201 -12.964955697760093 1894.99 648.137 -13.156156731243602 -12.966834778902783
1898.805 934.323 -11.359736582667878 -11.324120882140921 1898.805 934.323 -11.36324805690963 -11.320090826951287
1929.069 289.648 -10.9712778769104 -10.957499738222637 1929.069 289.648 -10.958575426271683 -10.972472879763188
1921.266 401.957 -10.75397788276775 -10.807968012665935 1921.266 401.957 -10.75780435950734 -10.803394935169411
1914.231 447.78 -10.765977882767753 -10.824968012665938 1914.231 447.78 -10.773229368888892 -10.816301657098215
1923.152 561.21 -11.354278136969764 -11.31615901274245 1923.152 561.21 -11.356201794408452 -11.31395126604971
1917.127 709.069 -12.323468408432191 -12.177276724275288 1917.127 709.069 -12.321755100362452 -12.179132570412385
1937.202 718.558 -13.353637887205732 -13.160059654297783 1937.202 718.558 -13.353671810119678 -13.160025591760288
1944.519 609.32 -11.351278136969764 -11.29915901274245 1944.519 609.32 -11.346084830777524 -11.305145425132498
1953.83 697.78 -11.047893688754904 -11.051564655057739 1953.83 697.78 -11.049447300444086 -11.049741596325322
1951.383 742.953 -12.93363788720573 -12.757059654297784 1951.383 742.953 -12.935743930999841 -12.754848254173051
1959.554 777.057 -11.498244645123108 -11.417794888352574 1959.554 777.057 -11.488192598306608 -11.429231882301409
1941.808 821.175 -11.553865224041736 -11.481873876029631 1941.808 821.175 -11.551347181911687 -11.4847388480229
1959.461 814.041 -10.670683818015547 -10.736420265477449 1959.461 814.041 -10.67348827469825 -10.733052972835146
1957.788 851.465 -10.804683818015548 -10.83942026547745 1957.788 851.465 -10.803091139485804 -10.841314915693456
1965.891 256.968 -11.791915523910557 -11.709920103994872 1965.891 256.968 -11.797751014829622 -11.70339224107288
1980.479 312.68 -11.507181746001699 -11.432766592433271 1980.479 312.68 -11.500658675082683 -11.440188396568338
1967.863 462.539 -10.847016442878655 -10.878327343688547 1967.863 462.539 -10.847059784804806 -10.878275784137632
1983.09 754.314 -11.733637887205731 -11.645059654297786 1983.09 754.314 -11.733077522667497 -11.64568913424177
1976.802 851.419 -12.619865224041739 -12.45487387602963 1976.802 851.419 -12.61918747451524 -12.455596871491835
1970.04 950.791 -13.232989489646318 -13.029291225964958 1970.04 950.791 -13.226862032124444 -13.035565606113721
1987.745 955.93 -11.051000767890482 -11.064965105430431 1987.745 955.93 -11.057862643430287 -11.056913156406935
1998.353 230.748 -10.703329498161548 -10.774864141307834 1998.353 230.748 -10.71166855108768 -10.76485149545914
2008.992 257.971 -13.685915523910555 -13.488920103994868 2008.992 257.971 -13.67936054017342 -13.495040964513557
1992.764 298.544 -12.460915523910558 -12.28092010399487 1992.764 298.544 -12.447474566607845 -12.295423016853537
1997.653 295.449 -10.72191552391056 -10.76992010399487 1997.653 295.449 -10.720211306265139 -10.771966346881666
2006.504 462.654 -10.616239796233955 -10.683475270481821 2006.504 462.654 -10.615226969413534 -10.684697081930267
1994.086 619.49 -11.34998638571787 -11.326965508049856 1994.086 619.49 -11.359114583064883 -11.31648924179878
2008.286 633.889 -11.99898638571787 -11.900965508049858 2008.286 633.889 -12.00724034853883 -11.891845459311309
2011.869 716.121 -12.755711633720814 -12.594111519882958 2011.869 716.121 -12.760755705551407 -12.588771123049039
