v,vi,i,x,y
18.831390964162082,0.71543865576901,18.115952308393073,2122.183,412.138
17.159630582777634,0.7795131540361145,16.38011742874152,2132.989,769.659
18.383630582777634,0.6135131540361146,17.77011742874152,2132.592,767.586
19.04893554859416,0.7402785420865674,18.30865700650759,2113.914,788.157
19.370133558777972,0.7773409739908347,18.592792584787137,2123.162,948.589
18.497714170745645,0.727201958918769,17.770512211826876,2115.714,981.605
18.386714170745645,0.727201958918769,17.659512211826875,2121.617,966.942
18.471346892120557,0.7174175967810299,17.75392929533953,2150.973,252.602
19.427149951427587,0.8036855262366203,18.623464425190967,2183.035,229.082
18.331566878334446,0.7154928077965591,17.616074070537888,2187.559,313.166
17.473604068991904,0.7345079394957098,16.739096129496193,2182.511,363.311
18.628967959911648,0.7009657060985299,17.92800225381312,2184.145,485.279
18.490480759770445,0.7051404259787915,17.785340333791655,2192.381,590.849
17.198936383143003,0.8086260742669572,16.390310308876046,2201.632,624.43
18.587566878334446,0.7154928077965591,17.872074070537888,2222.494,241.434
17.437566878334447,0.7454928077965591,16.69207407053789,2226.851,318.158
17.905885310322727,0.6905936010382221,17.215291709284504,2221.567,946.852
17.054320181483227,0.8387486760736148,16.215571505409613,2260.283,460.68
16.29998516816593,0.869641442851546,15.430343725314383,2253.734,580.046
19.027480759770445,0.7501404259787913,18.277340333791653,2254.111,696.253
17.357566878334445,0.7764928077965592,16.581074070537888,2270.763,313.76
18.803671420921138,0.755529502667742,18.048141918253396,2269.17,338.45
18.494390964162083,0.7184386557690101,17.775952308393073,2265.688,434.977
18.26848943271317,0.6978051443686699,17.570684288344502,2283.997,470.541
19.207936383143,0.7656260742669573,18.442310308876042,2284.738,678.961
17.949480759770445,0.7111404259787913,17.238340333791655,2275.772,726.49
17.563836927131987,0.7339129103231998,16.82992401680879,2276.206,922.967
18.76019421136349,0.7167102793246334,18.043483932038857,2311.365,568.934
18.40334689212056,0.7244175967810299,17.67892929533953,2316.73,323.953
19.16461393793578,0.7908457759340897,18.37376816200169,2336.613,478.434
18.851415656895934,0.7344468941527511,18.116968762743184,2331.711,530.673
17.344825192963324,0.7455826222551265,16.599242570708196,2335.864,556.978
18.917489432713168,0.7218051443686697,18.1956842883445,2316.85,573.275
19.05396795991165,0.7399657060985299,18.31400225381312,2337.486,589.146
17.578364477365934,0.7397561919491425,16.838608285416793,2347.101,311.855
18.458176706899902,0.7233608168730947,17.73481589002681,2350.362,946.864
19.0301767068999,0.7473608168730946,18.282815890026807,2344.402,965.784
18.030929773087266,0.6939511498952066,17.33697862319206,2376.741,508.579
18.684604068991902,0.7425079394957097,17.942096129496193,2403.071,388.258
17.6726040689919,0.7235079394957098,16.94909612949619,2404.081,408.007
19.4276040689919,0.7855079394957097,18.642096129496192,2411.439,414.651
17.897509890022235,0.7044774258585302,17.193032464163704,2391.88,773.525
19.274531484212705,0.7634828147509485,18.511048669461758,2410.567,822.325
19.347975541270003,0.7826291524436912,18.565346388826313,2423.307,415.122
19.34924101348077,0.7937140921054776,18.555526921375293,2448.816,342.953
18.996568020461893,0.7594950045571911,18.237073015904702,2449.702,592.974
18.090929335748832,0.6929491882775262,17.397980147471305,2453.667,599.301
18.229892799499645,0.7459369984712836,17.48395580102836,2453.012,809.596
18.748513232746866,0.7204758175528576,18.02803741519401,2452.975,872.287
17.8791357077681,0.6930162256965734,17.186119482071526,2507.775,761.049
17.88023996405312,0.7080455622238058,17.172194401829316,2522.101,415.683
17.559241013480772,0.7177140921054778,16.841526921375294,2526.085,446.662
18.50893438712329,0.7292772467252016,17.77965714039809,2534.964,538.205
19.094856537336558,0.7439221765512343,18.350934360785324,2518.272,589.248
17.7861357077681,0.6920162256965734,17.094119482071527,2528.635,820.632
19.130973123091206,0.7539628894562128,18.377010233634994,2518.412,848.214
17.843334849853576,0.7067399521753884,17.136594897678187,2554.745,481.592
19.349742814477576,0.7758778795465358,18.57386493493104,2557.232,527.31
17.819803158000585,0.6745643763642447,17.14523878163634,2581.269,392.611
19.054962096004193,0.7459555790118388,18.309006516992355,2581.576,685.306
18.039981126761298,0.7016310159643909,17.338350110796906,2565.127,730.241
18.60633677271972,0.7087469486831578,17.897589824036565,2579.009,952.447
18.299962096004194,0.7009555790118387,17.599006516992354,2605.609,730.097
17.5901357077681,0.7230162256965734,16.867119482071526,2593.761,755.941
19.374855728031775,0.7845882705870882,18.590267457444686,2645.532,794.391
18.102002302200063,0.7246362651461854,17.37736603705388,2645.574,979.179
17.91944758250506,0.683443020036867,17.236004562468192,2665.67,474.938
17.940334849853578,0.7177399521753884,17.22259489767819,2671.757,549.148
17.779002302200066,0.7026362651461854,17.07636603705388,2666.841,813.917
16.777870530156775,0.8489268450591145,15.92894368509766,2680.769,844.761
19.12513153489706,0.7543412066043309,18.37079032829273,2725.22,790.365
18.90141913160614,0.7564326199412224,18.144986511664918,2773.452,617.979
18.362626726276048,0.7341673371824304,17.628459389093617,2812.942,530.763
18.04041913160614,0.6814326199412224,17.358986511664916,2807.589,697.985
18.851881922833716,0.7462570191932727,18.105624903640443,2812.703,778.223
17.971345995768026,0.6910727675394915,17.280273228228534,2846.833,522.207
18.63422713447105,0.7487012908925206,17.88552584357853,2842.67,637.223
17.30223888049903,0.7693706659858308,16.532868214513197,2851.964,625.099
18.703749200780756,0.7435427428841834,17.96020645789657,2866.379,714.012
18.535233605068445,0.7140389013732669,17.821194703695177,2881.536,753.75
17.881020069705286,0.6996449165834703,17.181375153121817,2880.714,909.452
17.901616910402133,0.6884940667932671,17.213122843608865,2892.981,576.546
18.211227134471052,0.6987012908925205,17.51252584357853,2912.231,665.351
18.37422749377636,0.7140414016911601,17.6601860920852,2908.093,817.377
17.80181319433487,0.6932467988361899,17.10856639549868,2905.936,934.515
18.593813194334864,0.7242467988361899,17.869566395498673,2909.002,941.99
19.23586397296569,0.7802428597956336,18.455621113170054,2917.495,618.908
18.825991433953313,0.7396262841378511,18.08636514981546,2965.825,743.083
19.03931492073871,0.7477369345179081,18.2915779862208,2993.824,802.197
19.105429956462913,0.7314507571494513,18.37397919931346,2997.552,878.877
17.257947443109657,0.783950690279436,16.47399675283022,3046.552,807.1
17.918711429583524,0.695212846456601,17.223498583126922,3042.843,875.772
19.28026631408317,0.7533852659333323,18.52688104814984,3070.477,702.611
19.191711429583524,0.7562128464566008,18.435498583126922,3082.981,923.43
18.44679675312326,0.7192440370157034,17.727552716107557,3075.483,984.087
18.799187432790333,0.7273689346803881,18.071818498109945,3107.236,874.928
17.990699869586987,0.6932080817732335,17.297491787813755,3100.442,901.474
17.388477175749085,0.7584701426126094,16.630007033136476,3109.158,970.652
18.391990743433922,0.7106369479908903,17.68135379544303,3128.079,867.303
16.869238493296077,0.8647223298105391,16.004516163485537,3137.307,957.467
18.578203631767195,0.7303661685650877,17.847837463202108,3178.805,705.021
17.5828134624339,0.7155814320875701,16.86723203034633,3170.075,934.831
19.101485072980296,0.7718000583933349,18.32968501458696,3194.597,730.476
16.925767962864974,0.8535680675014783,16.072199895363497,3198.875,983.513
19.16745559459389,0.7611265828536121,18.406329011740276,3223.249,857.15
19.218796753123257,0.7832440370157034,18.435552716107555,3241.838,969.988
18.845767962864976,0.7435680675014782,18.102199895363498,3250.591,986.488
19.32981202245422,0.7815755045410132,18.548236517913207,3276.232,796.733
17.335912123042867,0.76194889261757,16.573963230425296,3265.431,952.611
19.420497551120032,0.7851451203237508,18.63535243079628,3285.529,974.148
17.656812022454222,0.6965755045410134,16.96023651791321,3310.923,790.864
19.137075169235267,0.7573305716695056,18.37974459756576,3331.435,760.27
17.89707516923527,0.6903305716695056,17.206744597565763,3318.615,790.897
18.74383862190541,0.7395880104859172,18.004250611419494,3347.738,827.801
18.603232651401594,0.7347231043033018,17.86850954709829,3353.379,937.946
17.556200453513952,0.713709638371654,16.8424908151423,3370.084,887.928
18.576168817382005,0.7267036226853254,17.84946519469668,3380.562,946.834
18.136168817382003,0.6967036226853254,17.439465194696677,3369.195,981.522
18.453138186329795,0.716021591898502,17.737116594431292,3411.839,853.311
17.131954719750965,0.8459621965578565,16.28599252319311,3416.005,904.53
