,v,v_err,i,i_err,vi,vi_err,x,y
226,18.395,0.004,17.837,0.005,0.558,0.0064,3937.318,688.059
229,19.455,0.014,18.879,0.007,0.576,0.0157,3932.5,817.613
230,19.264,0.002,18.685,0.006,0.579,0.0063,3934.234,828.883
231,20.122,0.009,19.488,0.005,0.634,0.0103,3914.606,849.214
232,19.353,0.006,18.762,0.011,0.591,0.0125,3928.626,912.496
234,19.921,0.0051,19.296,0.0054,0.625,0.0074,3946.923,407.972
235,18.893,0.0032,18.341,0.0035,0.552,0.0047,3941.449,462.696
237,19.355,0.006,18.779,0.005,0.576,0.0078,3946.367,566.04
239,19.379,0.003,18.805,0.009,0.574,0.0095,3961.949,631.114
241,19.304,0.005,18.739,0.006,0.565,0.0078,3960.353,723.849
242,20.106,0.005,19.473,0.003,0.633,0.0058,3940.844,739.129
243,19.514,0.006,18.929,0.01,0.585,0.0117,3946.444,763.009
246,19.804,0.0049,19.2,0.0051,0.604,0.0071,3967.74,439.631
248,18.192,0.004,17.594,0.001,0.598,0.0041,3967.229,637.757
251,18.361,0.008,17.807,0.005,0.554,0.0094,3964.083,826.302
256,18.786,0.004,18.245,0.0,0.541,0.004,4028.193,474.525
258,18.941,0.009,18.394,0.004,0.547,0.0098,4033.805,712.957
260,19.659,0.01,19.086,0.01,0.573,0.0141,4029.485,945.963
261,19.416,0.0041,18.849,0.0044,0.567,0.006,4046.236,383.69
262,18.204,0.0023,17.616,0.0025,0.588,0.0034,4057.468,405.355
263,19.311,0.008,18.743,0.004,0.568,0.0089,4060.296,874.526
266,19.336,0.008,18.738,0.0042,0.598,0.009,4079.503,445.325
267,19.377,0.005,18.799,0.006,0.578,0.0078,4076.17,500.62
271,17.491,0.008,16.782,0.001,0.709,0.0081,4077.763,788.414
273,18.405,0.008,17.855,0.003,0.55,0.0085,4078.094,984.913
274,19.937,0.014,19.327,0.005,0.61,0.0149,4099.415,444.182
275,18.741,0.009,18.188,0.002,0.553,0.0092,4099.925,528.161
277,18.119,0.013,17.477,0.0023,0.642,0.0132,4135.293,438.475
278,18.759,0.009,18.219,0.009,0.54,0.0127,4129.833,647.716
280,19.395,0.01,18.836,0.008,0.559,0.0128,4128.009,891.526
282,18.838,0.0031,18.289,0.0034,0.549,0.0046,4139.482,409.023
283,19.358,0.008,18.785,0.004,0.573,0.0089,4153.891,520.197
289,18.539,0.005,17.992,0.006,0.547,0.0078,4160.79,959.73
290,18.797,0.005,18.252,0.005,0.545,0.0071,4175.813,585.77
291,18.992,0.007,18.447,0.006,0.545,0.0092,4178.629,679.75
292,18.291,0.009,17.731,0.004,0.56,0.0098,4182.804,953.75
296,18.394,0.001,17.835,0.001,0.559,0.0014,4226.599,564.991
297,18.5,0.009,17.957,0.005,0.543,0.0103,4224.724,659.553
298,18.741,0.02,18.177,0.005,0.564,0.0206,4226.288,656.013
300,19.884,0.015,19.283,0.01,0.601,0.018,4233.955,790.419
306,20.019,0.012,19.39,0.006,0.629,0.0134,4240.634,986.056
311,18.741,0.009,18.201,0.004,0.54,0.0098,4287.29,768.032
312,19.92,0.001,19.314,0.0054,0.606,0.0055,4306.235,773.853
313,20.067,0.016,19.447,0.009,0.62,0.0184,4305.103,791.345
315,18.323,0.0025,17.764,0.0027,0.559,0.0036,4332.355,598.0
320,19.774,0.0,19.182,0.015,0.592,0.015,4386.515,963.887
322,19.933,0.0052,19.323,0.0055,0.61,0.0075,4402.249,835.099
325,19.756,0.0048,19.153,0.005,0.603,0.0069,4430.208,956.2
330,19.006,0.0032,18.472,0.025,0.534,0.0252,333.495,1968.662
331,19.137,0.023,18.585,0.007,0.552,0.024,339.12,1933.489
335,19.9,0.0049,19.319,0.0052,0.581,0.0071,432.673,1629.89
336,19.769,0.018,19.183,0.0049,0.586,0.0187,437.233,1752.698
337,19.713,0.008,19.134,0.006,0.579,0.01,462.031,1911.868
338,20.143,0.004,19.505,0.009,0.638,0.0098,484.298,1677.189
339,19.84,0.024,19.233,0.004,0.607,0.0243,467.831,1725.774
342,19.896,0.008,19.295,0.004,0.601,0.0089,499.851,1819.265
344,19.461,0.004,18.893,0.0043,0.568,0.0058,513.078,1588.964
345,18.585,0.001,18.042,0.007,0.543,0.0071,524.502,1755.429
346,19.709,0.002,19.127,0.015,0.582,0.0151,534.976,1756.887
349,18.214,0.007,17.631,0.008,0.583,0.0106,562.752,1854.146
350,19.717,0.005,19.129,0.005,0.588,0.0071,557.174,1870.305
351,20.019,0.006,19.401,0.005,0.618,0.0078,558.671,1900.915
355,19.909,0.006,19.309,0.011,0.6,0.0125,575.924,1748.07
356,19.608,0.011,19.024,0.006,0.584,0.0125,569.628,1784.163
358,18.587,0.006,18.052,0.001,0.535,0.0061,604.668,1677.074
359,18.775,0.008,18.231,0.006,0.544,0.01,605.65,1831.447
