,v,v_err,i,i_err,vi,vi_err,x,y,Vbin,Ibin
1434,17.613,0.006,17.049,0.01,0.564,0.0117,857.7,2177.807,60,60
1435,18.11,0.007,17.558,0.005,0.552,0.0086,855.895,2517.863,60,70
1436,16.852,0.0072,16.174,0.0017,0.678,0.0074,846.491,2640.281,40,40
1437,19.038,0.0046,18.436,0.0049,0.602,0.0067,848.495,2721.79,80,80
1438,18.462,0.003,17.894,0.005,0.568,0.0058,866.4,2015.725,70,70
1439,18.576,0.002,17.993,0.011,0.583,0.0112,863.961,2267.692,70,70
1440,18.959,0.0,18.364,0.01,0.595,0.01,878.972,2576.635,80,80
1441,17.702,0.006,17.152,0.01,0.55,0.0117,885.528,2603.135,60,60
1442,17.874,0.004,17.332,0.012,0.542,0.0126,884.524,2626.583,60,60
1443,19.206,0.002,18.588,0.014,0.618,0.0141,885.485,2636.046,80,80
1444,15.94,0.0047,15.219,0.0051,0.721,0.0069,871.591,2745.996,20,20
1445,19.061,0.0046,18.449,0.0049,0.612,0.0068,869.767,2773.995,80,80
1446,18.074,0.0029,17.528,0.0032,0.546,0.0044,867.606,2811.11,60,70
1447,18.613,0.006,18.034,0.007,0.579,0.0092,894.297,1999.562,70,70
1448,18.09,0.01,17.536,0.008,0.554,0.0128,897.988,2180.418,60,70
1449,19.007,0.031,18.385,0.033,0.622,0.0453,908.922,2407.183,80,80
1450,19.199,0.017,18.568,0.006,0.631,0.018,899.38,2441.829,80,80
1451,18.559,0.014,17.994,0.01,0.565,0.0172,891.961,2785.595,70,70
1452,18.946,0.0044,18.349,0.0047,0.597,0.0064,906.24,2908.749,80,80
1453,18.535,0.013,17.974,0.003,0.561,0.0133,932.529,2054.178,70,70
1454,16.007,0.0049,15.266,0.0052,0.741,0.0071,916.239,2154.896,20,20
1455,17.819,0.011,17.269,0.005,0.55,0.0121,934.705,2412.142,60,60
1456,19.028,0.012,18.425,0.014,0.603,0.0184,923.452,2624.273,80,80
1457,19.176,0.008,18.549,0.004,0.627,0.0089,947.745,2093.12,80,80
1458,19.016,0.013,18.406,0.005,0.61,0.0139,950.101,2250.944,80,80
1459,18.769,0.004,18.188,0.006,0.581,0.0072,938.326,2283.074,80,80
1460,16.622,0.0015,15.904,0.007,0.718,0.0071,945.216,2409.138,40,40
1461,19.068,0.006,18.46,0.01,0.608,0.0117,946.13,2509.113,80,80
1462,15.411,0.0037,14.649,0.0039,0.762,0.0054,942.934,2608.668,10,10
1463,16.56,0.0062,15.844,0.0068,0.716,0.0092,959.151,2661.971,40,30
1464,19.082,0.006,18.468,0.019,0.614,0.0199,959.048,2735.954,80,80
1465,18.165,0.003,17.62,0.0,0.545,0.003,945.011,2886.103,70,70
1466,18.389,0.012,17.824,0.003,0.565,0.0124,987.204,2125.461,70,70
1467,18.314,0.002,17.733,0.004,0.581,0.0045,968.669,2194.239,70,70
1468,15.844,0.0045,15.109,0.0048,0.735,0.0066,981.012,2652.992,19,19
1469,18.903,0.007,18.314,0.01,0.589,0.0122,974.155,2667.529,80,80
1470,18.891,0.01,18.294,0.012,0.597,0.0156,967.938,2741.846,79,79
1471,18.068,0.003,17.53,0.013,0.538,0.0133,981.086,2796.178,59,69
1472,17.848,0.006,17.296,0.012,0.552,0.0134,967.104,2927.834,59,59
1473,17.038,0.003,16.366,0.002,0.672,0.0036,995.762,2001.947,50,50
1474,18.363,0.008,17.794,0.006,0.569,0.01,988.805,2131.742,70,70
1475,18.106,0.006,17.544,0.008,0.562,0.01,1007.773,2340.313,60,70
1476,15.944,0.0047,15.209,0.0051,0.735,0.0069,1005.404,2434.38,20,20
1477,17.87,0.002,17.318,0.005,0.552,0.0054,998.708,2422.408,60,60
1478,17.92,0.009,17.376,0.008,0.544,0.012,995.488,2709.758,59,59
1479,18.935,0.005,18.334,0.011,0.601,0.0121,995.253,2779.374,79,79
1480,18.472,0.003,17.908,0.014,0.564,0.0143,1003.59,2794.968,69,69
1481,19.27,0.006,18.649,0.005,0.621,0.0078,1008.536,2942.743,79,79
1482,18.846,0.006,18.245,0.009,0.601,0.0108,1030.771,2381.094,80,80
1483,18.207,0.008,17.654,0.002,0.553,0.0082,1025.245,2428.707,70,70
1484,17.773,0.002,17.224,0.008,0.549,0.0082,1029.645,2699.495,59,59
1485,17.889,0.002,17.348,0.01,0.541,0.0102,1016.517,2790.232,59,59
1486,18.911,0.007,18.316,0.011,0.595,0.013,1057.109,2543.544,79,79
1487,18.708,0.006,18.119,0.004,0.589,0.0072,1051.532,2604.419,79,79
1488,18.286,0.005,17.732,0.009,0.554,0.0103,1038.28,2714.609,69,69
1489,18.001,0.005,17.458,0.009,0.543,0.0103,1041.486,2781.067,59,59
1490,17.803,0.009,17.258,0.006,0.545,0.0108,1051.527,2763.397,59,59
1491,17.345,0.004,16.764,0.01,0.581,0.0108,1060.451,2798.839,49,49
1492,17.989,0.003,17.449,0.008,0.54,0.0085,1049.885,2924.293,59,59
1493,19.224,0.006,18.576,0.007,0.648,0.0092,1080.618,1988.295,80,80
1494,18.217,0.004,17.647,0.017,0.57,0.0175,1082.783,2004.325,70,70
1495,17.852,0.005,17.301,0.012,0.551,0.013,1078.822,2282.762,60,60
1496,15.737,0.0043,14.988,0.0046,0.749,0.0063,1076.316,2292.556,20,20
1497,18.846,0.004,18.247,0.008,0.599,0.0089,1065.474,2323.349,80,80
1498,16.206,0.0053,15.485,0.0058,0.721,0.0078,1066.283,2469.339,29,29
1499,18.763,0.003,18.178,0.011,0.585,0.0114,1085.809,2746.036,79,79
1500,19.193,0.009,18.565,0.013,0.628,0.0158,1064.921,2787.596,79,79
1501,19.101,0.009,18.488,0.006,0.613,0.0108,1068.671,2900.573,79,79
1502,18.902,0.006,18.304,0.006,0.598,0.0085,1088.927,2056.031,80,80
1503,17.28,0.002,16.682,0.004,0.598,0.0045,1108.199,2197.83,50,50
1504,18.993,0.006,18.389,0.008,0.604,0.01,1100.465,2301.948,79,79
1505,19.074,0.015,18.457,0.014,0.617,0.0205,1107.174,2353.931,79,79
1506,18.19,0.006,17.632,0.006,0.558,0.0085,1107.601,2502.201,69,69
1507,18.727,0.009,18.147,0.004,0.58,0.0098,1091.946,2546.136,79,79
1508,17.437,0.003,16.867,0.006,0.57,0.0067,1111.374,2731.186,49,49
1509,18.225,0.003,17.674,0.008,0.551,0.0085,1092.041,2850.275,69,69
1510,18.912,0.007,18.31,0.002,0.602,0.0073,1102.384,2894.567,79,79
1511,17.764,0.003,17.215,0.002,0.549,0.0036,1093.791,2962.854,59,59
1512,18.523,0.006,17.957,0.003,0.566,0.0067,1113.482,2058.923,70,70
1513,18.868,0.008,18.265,0.005,0.603,0.0094,1125.358,2087.855,80,80
1514,18.554,0.003,17.98,0.007,0.574,0.0076,1124.714,2261.896,69,69
1515,17.866,0.004,17.368,0.008,0.498,0.0089,1128.344,2371.655,59,59
1516,18.026,0.002,17.476,0.009,0.55,0.0092,1114.86,2488.628,59,59
1517,18.836,0.007,18.24,0.008,0.596,0.0106,1117.884,2619.194,79,79
1518,19.129,0.01,18.515,0.005,0.614,0.0112,1113.84,2781.139,79,79
1519,18.85,0.008,18.257,0.004,0.593,0.0089,1118.689,2786.394,79,79
1520,19.157,0.005,18.534,0.006,0.623,0.0078,1119.162,2794.141,79,79
1521,18.985,0.007,18.38,0.005,0.605,0.0086,1155.55,2061.666,80,80
1522,19.075,0.01,18.463,0.004,0.612,0.0108,1161.677,2535.823,79,79
1523,18.543,0.003,17.969,0.005,0.574,0.0058,1148.039,2552.907,69,69
1524,18.144,0.004,17.591,0.004,0.553,0.0057,1157.031,2610.742,69,69
1525,19.119,0.005,18.508,0.003,0.611,0.0058,1147.91,2687.357,79,79
1526,18.26,0.006,17.71,0.008,0.55,0.01,1155.266,2717.797,69,69
1527,17.695,0.006,17.143,0.006,0.552,0.0085,1160.623,2897.262,58,58
1528,18.375,0.01,17.818,0.009,0.557,0.0135,1147.563,2971.518,69,69
1529,18.756,0.008,18.171,0.007,0.585,0.0106,1167.272,1992.232,80,80
1530,18.378,0.004,17.807,0.008,0.571,0.0089,1179.697,2022.79,70,70
1531,18.88,0.006,18.285,0.005,0.595,0.0078,1163.753,2180.076,79,79
1532,18.555,0.004,17.974,0.004,0.581,0.0057,1176.013,2295.69,69,69
1533,18.48,0.005,17.912,0.003,0.568,0.0058,1173.957,2399.002,69,69
1534,18.352,0.005,17.786,0.006,0.566,0.0078,1209.84,2460.137,69,69
1535,17.842,0.007,17.296,0.003,0.546,0.0076,1190.18,2482.165,59,59
1536,18.709,0.004,18.126,0.002,0.583,0.0045,1203.978,2626.694,78,78
1537,17.758,0.005,17.209,0.006,0.549,0.0078,1205.053,2614.605,58,58
1538,18.505,0.015,17.93,0.019,0.575,0.0242,1202.422,2658.789,68,68
1539,18.973,0.001,18.37,0.008,0.603,0.0081,1201.732,2964.707,78,78
1540,18.18,0.002,17.622,0.006,0.558,0.0063,1219.046,2089.097,69,69
1541,17.951,0.005,17.384,0.005,0.567,0.0071,1237.635,2190.239,59,59
1542,18.95,0.002,18.35,0.007,0.6,0.0073,1219.642,2443.369,79,79
1543,19.153,0.003,18.521,0.008,0.632,0.0085,1225.995,2558.759,78,78
1544,17.506,0.006,16.946,0.004,0.56,0.0072,1227.46,2790.078,48,58
1545,18.976,0.006,18.367,0.004,0.609,0.0072,1251.258,2060.776,79,79
1546,17.697,0.003,17.142,0.002,0.555,0.0036,1256.004,2079.39,59,59
1547,19.152,0.009,18.534,0.006,0.618,0.0108,1259.488,2310.061,79,79
1548,18.938,0.005,18.34,0.013,0.598,0.0139,1240.898,2469.928,78,78
1549,18.366,0.005,17.802,0.004,0.564,0.0064,1256.772,2525.324,68,68
1550,17.876,0.01,17.329,0.005,0.547,0.0112,1256.272,2630.184,58,58
1551,19.195,0.01,18.573,0.006,0.622,0.0117,1258.805,2729.913,78,78
1552,18.337,0.004,17.781,0.006,0.556,0.0072,1258.422,2772.442,68,68
1553,17.545,0.007,16.992,0.004,0.553,0.0081,1255.507,2850.152,48,58
1554,18.095,0.007,17.539,0.014,0.556,0.0157,1240.556,2877.944,58,68
1555,18.416,0.003,17.849,0.004,0.567,0.005,1261.63,2876.956,68,68
1556,18.467,0.005,17.905,0.008,0.562,0.0094,1246.151,2906.496,68,68
