,v,v_err,i,i_err,vi,vi_err,x,y
8154,18.364,0.006,17.813,0.003,0.5511594267680114,0.0067,2656.765,3963.135
8158,18.935,0.01,18.344,0.01,0.5881830267980857,0.0141,2684.383,3030.044
8161,18.331,0.015,17.776,0.004,0.5517233238347458,0.0155,2670.887,3221.805
8163,18.398,0.004,17.841,0.007,0.5531909709589364,0.0081,2670.44,3449.003
8164,18.682,0.012,18.098,0.006,0.5813835897803192,0.0134,2671.308,3523.371
8170,18.017,0.006,17.472,0.002,0.5421189245967137,0.0063,2696.62,3047.75
8173,18.549,0.012,17.991,0.013,0.5551630707693428,0.0177,2712.481,3227.21
8174,18.663,0.009,18.091,0.004,0.5713105225849049,0.0098,2691.784,3307.196
8175,17.134,0.003,16.509,0.007,0.6240298642465546,0.0076,2710.308,3330.785
8177,17.058,0.004,16.4,0.007,0.6568210115112014,0.0081,2692.55,3522.369
8178,18.031,0.011,17.424,0.016,0.6055614962463252,0.0194,2697.603,3530.653
8180,18.153,0.004,17.602,0.008,0.5472468607736831,0.0089,2712.469,3617.206
8181,18.102,0.01,17.552,0.013,0.5437483544298514,0.0164,2701.441,3651.596
8185,18.31,0.01,17.759,0.004,0.5478497246521695,0.0108,2691.128,3790.553
8189,17.804,0.01,17.268,0.011,0.5359116191359266,0.0149,2689.53,3962.306
8191,19.018,0.01,18.406,0.012,0.6082941820408347,0.0156,2716.317,3147.847
8192,18.278,0.009,17.726,0.007,0.5487233238347458,0.0114,2716.456,3182.815
8193,18.57,0.009,17.993,0.012,0.5741630707693427,0.015,2717.581,3222.433
8196,19.026,0.005,18.418,0.009,0.6070298642465546,0.0103,2732.248,3289.909
8197,19.073,0.006,18.472,0.012,0.5997670837470589,0.0134,2730.378,3330.483
8200,18.187,0.006,17.641,0.009,0.5436293244747814,0.0108,2715.052,3458.467
8202,19.054,0.009,18.462,0.016,0.591030459133536,0.0184,2731.976,3569.871
8204,19.272,0.011,18.64,0.009,0.6285499538723811,0.0142,2713.779,3751.656
8206,18.286,0.002,17.731,0.006,0.5539164925880065,0.0063,2737.116,3873.582
8207,18.885,0.005,18.296,0.006,0.5883025388980003,0.0078,2722.278,3952.525
8208,19.015,0.003,18.343,0.009,0.6719116191359266,0.0095,2721.455,3969.55
8210,18.976,0.006,18.377,0.007,0.5992010842127959,0.0092,2759.68,3023.15
8211,16.555,0.0061,15.821,0.0066,0.7300177493625216,0.009,2760.152,3148.005
8212,18.84,0.002,18.25,0.011,0.5873396310286083,0.0112,2748.575,3232.096
8215,18.333,0.009,17.736,0.009,0.5945937743771181,0.0127,2754.55,3334.219
8216,18.233,0.002,17.663,0.013,0.5692487532414325,0.0132,2740.241,3370.645
8220,19.047,0.005,18.44,0.004,0.6044904186743103,0.0064,2752.462,3491.4
8221,18.178,0.007,17.634,0.009,0.5425670142889116,0.0114,2742.073,3525.542
8222,18.815,0.016,18.222,0.022,0.5910980514017006,0.0272,2739.373,3574.947
8223,18.375,0.005,17.833,0.009,0.5410304591335362,0.0103,2743.045,3568.871
8224,19.093,0.006,18.49,0.011,0.6007804025619834,0.0125,2752.897,3598.737
8225,19.14,0.002,18.509,0.012,0.6270035974317503,0.0122,2740.776,3741.616
8226,19.175,0.015,18.564,0.007,0.6079439807607077,0.0166,2747.656,3761.686
8230,18.77,0.011,18.186,0.006,0.5808690378440257,0.0125,2758.452,3790.613
8232,17.558,0.006,17.01,0.002,0.5473874048909597,0.0063,2761.552,3899.333
8234,19.046,0.001,18.446,0.012,0.5993874048909597,0.012,2757.39,3958.731
8238,18.082,0.008,17.539,0.007,0.5410540234682643,0.0106,2785.885,3099.955
8240,17.895,0.005,17.355,0.005,0.5355915232073141,0.0071,2787.162,3164.219
8241,18.133,0.007,17.587,0.005,0.5424468911564326,0.0086,2765.636,3199.194
8242,18.799,0.013,18.217,0.005,0.5784468911564326,0.0139,2783.973,3202.802
8243,18.43,0.008,17.874,0.004,0.5539920156952148,0.0089,2781.003,3256.569
8244,19.19,0.012,18.578,0.007,0.609150703255587,0.0139,2767.431,3291.324
8245,19.083,0.011,18.485,0.013,0.5952399529473575,0.017,2782.476,3312.408
8246,18.268,0.009,17.719,0.004,0.546150703255587,0.0098,2783.395,3302.693
8249,17.747,0.013,17.208,0.018,0.5367059959925151,0.0222,2777.639,3481.685
8250,17.227,0.006,16.629,0.009,0.5957059959925151,0.0108,2782.681,3478.684
8252,19.102,0.01,18.487,0.015,0.6122707136640824,0.018,2782.245,3631.442
8253,17.479,0.009,16.918,0.005,0.5575499538723812,0.0103,2785.973,3666.731
8254,18.98,0.008,18.377,0.01,0.6000349556349643,0.0128,2785.505,3739.607
8255,19.019,0.002,18.41,0.008,0.6062707136640824,0.0082,2780.484,3763.021
8256,18.351,0.004,17.791,0.007,0.5572707136640824,0.0081,2787.888,3768.974
8259,18.121,0.004,17.57,0.006,0.5499164925880065,0.0072,2783.234,3834.626
8261,18.868,0.007,18.281,0.008,0.5867542953574888,0.0106,2786.855,3904.105
8263,18.947,0.003,18.358,0.009,0.5883874048909596,0.0095,2769.493,3944.113
8268,18.682,0.013,18.108,0.006,0.5724934963456995,0.0143,2810.918,3032.68
8269,18.865,0.007,18.278,0.007,0.5848948918260137,0.0099,2800.804,3090.996
8270,18.991,0.01,18.387,0.009,0.6018948918260137,0.0135,2809.65,3095.865
8271,17.658,0.01,17.095,0.012,0.558591523207314,0.0156,2790.148,3178.611
8272,17.632,0.009,17.068,0.009,0.5606810325737581,0.0127,2808.058,3187.628
8275,18.449,0.01,17.887,0.006,0.5584468911564326,0.0117,2807.525,3218.175
8276,18.507,0.006,17.946,0.013,0.558624774884747,0.0143,2812.566,3304.124
8279,17.393,0.004,16.831,0.005,0.560357566666577,0.0064,2794.203,3462.15
8281,17.096,0.004,16.459,0.006,0.635311246429473,0.0072,2804.406,3597.982
8282,18.516,0.008,17.953,0.011,0.5596096531469921,0.0136,2789.222,3661.669
8286,18.808,0.004,18.218,0.01,0.586609653146992,0.0108,2793.017,3710.934
8289,18.113,0.005,17.566,0.013,0.5445694872980245,0.0139,2803.153,3769.341
8290,18.721,0.003,18.148,0.007,0.5706955948806471,0.0076,2808.758,3774.641
8293,19.067,0.006,18.461,0.008,0.6047309488762556,0.01,2808.787,3818.808
8296,17.655,0.005,17.109,0.01,0.5458217032894846,0.0112,2794.565,3911.025
8299,17.008,0.006,16.36,0.01,0.6482306480097122,0.0117,2806.124,3975.382
8300,18.168,0.002,17.616,0.005,0.5524851418845731,0.0054,2804.196,3983.653
8303,17.85,0.007,17.311,0.007,0.5368774021076969,0.0099,2828.375,3100.084
8304,18.62,0.017,18.055,0.009,0.5628774021076968,0.0192,2832.97,3096.64
8308,17.068,0.003,16.417,0.008,0.6477756217626185,0.0085,2825.227,3207.646
8312,19.24,0.007,18.617,0.011,0.6206247748847471,0.013,2825.464,3303.223
8315,18.93,0.006,18.336,0.013,0.5913166244650914,0.0143,2836.166,3425.385
8317,19.0,0.005,18.401,0.004,0.5975335833294124,0.0064,2830.371,3485.287
8318,18.661,0.005,18.08,0.008,0.5799957198484195,0.0094,2834.753,3533.77
8319,18.537,0.005,17.971,0.012,0.5643112464294731,0.013,2825.646,3588.753
8321,18.602,0.01,18.041,0.006,0.5586189556846397,0.0117,2823.282,3758.479
8322,16.486,0.0059,15.779,0.0064,0.7057309488762555,0.0087,2835.306,3836.525
8323,18.64,0.008,18.065,0.013,0.5739164925880064,0.0153,2834.792,3845.228
8325,17.139,0.005,16.518,0.008,0.6199164925880064,0.0094,2837.512,3894.841
8326,17.865,0.008,17.323,0.006,0.5428128054512326,0.01,2817.906,3983.789
8327,18.194,0.009,17.644,0.012,0.548094014025964,0.015,2849.729,3030.071
8328,16.538,0.006,15.827,0.0066,0.7087779740348044,0.0089,2844.066,3111.92
8330,17.988,0.008,17.452,0.006,0.5339777214451955,0.01,2856.076,3116.188
8334,18.488,0.007,17.867,0.015,0.6203593694448477,0.0166,2859.583,3391.593
8335,17.674,0.006,17.125,0.01,0.5470772871398694,0.0117,2856.571,3436.011
8336,17.62,0.005,17.074,0.007,0.5431467181569914,0.0086,2838.293,3452.535
8338,19.161,0.008,18.551,0.009,0.6080772871398693,0.012,2854.351,3489.852
8340,19.225,0.008,18.607,0.011,0.6163112464294731,0.0136,2851.135,3593.905
8345,19.256,0.008,18.633,0.014,0.6206189556846395,0.0161,2848.183,3754.27
8346,18.481,0.003,17.917,0.008,0.5629164925880064,0.0085,2841.998,3821.105
8347,19.096,0.006,18.484,0.006,0.6119307357399962,0.0085,2862.193,3863.068
8354,17.281,0.008,16.7,0.009,0.5790940140259639,0.012,2885.712,3037.829
8355,18.811,0.011,18.228,0.01,0.581094014025964,0.0149,2865.041,3040.942
8359,17.537,0.011,16.984,0.0,0.5501679378025901,0.011,2870.168,3154.481
8360,18.794,0.008,18.215,0.01,0.5751402118612393,0.0128,2880.159,3169.712
8363,18.395,0.001,17.8,0.011,0.5934657551057992,0.011,2874.93,3239.435
8365,19.161,0.006,18.535,0.018,0.6254753657948904,0.019,2871.244,3288.602
8368,18.331,0.008,17.778,0.011,0.5513729825334275,0.0136,2885.216,3394.877
8370,18.4,0.01,17.84,0.016,0.5571467181569915,0.0189,2885.109,3446.305
8374,18.928,0.008,18.323,0.005,0.6039957198484195,0.0094,2885.41,3533.314
8375,19.18,0.008,18.569,0.008,0.609311246429473,0.0113,2884.961,3573.633
