InputX InputY InputF606W InputF814W OutputX OutputY OutputF606W OutputF814W
3104.046 835.571 -14.693999999999999 -14.680000000000001 3104.046 835.571 -14.697464424175458 -14.676658351590524
3088.259 833.443 -13.714000000000002 -13.559000000000001 3088.259 833.443 -13.711679662019694 -13.56090349724677
3096.588 851.817 -13.315999999999999 -13.119000000000003 3096.588 851.817 -13.315203698218834 -13.11976967569376
3095.913 900.443 -10.931000000000001 -10.924000000000003 3095.913 900.443 -10.936898453366219 -10.917134103797707
3132.104 881.434 -11.158999999999999 -11.103000000000002 3132.104 881.434 -11.155879507204634 -11.106582064537378
3159.205 829.184 -10.737000000000002 -10.764000000000003 3159.205 829.184 -10.745910126270338 -10.753609248209848
3149.115 841.429 -11.100999999999999 -11.047 3149.115 841.429 -11.095133892529926 -11.053760024547174
3151.951 855.448 -11.231000000000002 -11.170000000000002 3151.951 855.448 -11.229918386305613 -11.171235943157011
3160.233 839.481 -12.192 -12.030000000000001 3160.233 839.481 -12.18851097732989 -12.03377221224375
3171.345 865.324 -13.593 -13.426000000000002 3171.345 865.324 -13.595623287049843 -13.423710735299068
3182.808 876.062 -10.854 -10.841000000000001 3182.808 876.062 -10.851478755756546 -10.843947576524219
3171.152 983.201 -10.449000000000002 -10.478000000000002 3171.152 983.201 -10.43686778809385 -10.492742994115858
3191.072 827.624 -11.82 -11.695000000000004 3191.072 827.624 -11.819188232381126 -11.695896998273536
3198.15 921.961 -10.837 -10.804000000000002 3198.15 921.961 -10.82338459957424 -10.819921785609473
3204.685 923.497 -11.135000000000002 -11.094000000000001 3204.685 923.497 -11.137771542102271 -11.090814814171445
3223.698 799.445 -13.126999999999999 -12.913000000000004 3223.698 799.445 -13.118763636601997 -12.921305478817828
3226.269 882.054 -11.927 -11.790000000000003 3226.269 882.054 -11.925117744279884 -11.79206683090187
3236.808 896.169 -12.733 -12.525000000000002 3236.808 896.169 -12.722505737369826 -12.535961145851058
3219.615 947.365 -10.562999999999999 -10.589000000000002 3219.615 947.365 -10.558935230847759 -10.593837764917428
3238.093 862.435 -15.622 -15.628000000000002 3238.093 862.435 -15.618138215837206 -15.631714307071453
3257.0 861.696 -10.923000000000002 -10.927000000000003 3257.0 861.696 -10.933775377648193 -10.914452122955446
3255.077 979.779 -10.431000000000001 -10.490000000000002 3255.077 979.779 -10.432023658556268 -10.488756324158846
3288.652 928.55 -11.573 -11.473000000000003 3288.652 928.55 -11.572212075503572 -11.473882548776178
3321.828 876.803 -10.454 -10.523000000000003 3321.828 876.803 -10.46192965734664 -10.513367272448725
3339.951 891.272 -12.102 -11.950000000000003 3339.951 891.272 -12.100021952271035 -11.952150355181207
3358.565 906.934 -11.995000000000001 -11.852000000000004 3358.565 906.934 -11.993091831357972 -11.85408712020158
3352.708 915.916 -11.292000000000002 -11.244000000000003 3352.708 915.916 -11.30108777849986 -11.233661794972672
3384.93 771.514 -11.251999999999999 -11.143 3384.93 771.514 -11.22842983364399 -11.169933262742866
3367.136 847.99 -10.847999999999999 -10.869000000000003 3367.136 847.99 -10.861845532683414 -10.85281549434541
3370.021 949.99 -11.062000000000001 -10.995000000000001 3370.021 949.99 -11.047140413502117 -11.012171396648593
3373.562 981.559 -16.414 -16.463 3373.562 981.559 -16.330488198799436 -16.37540055743168
