v,v_err,i,i_err,vi,vi_err,x,y
18.599,0.017,18.045,0.002,0.554,0.0171,4715.247,876.847
19.099,0.011,18.493,0.008,0.606,0.0136,4721.482,892.372
18.449,0.0034,17.899,0.0037,0.55,0.005,4758.129,595.601
18.479,0.001,17.916,0.019,0.563,0.019,4741.616,945.048
18.211,0.006,17.664,0.01,0.547,0.0117,4745.162,969.74
16.948,0.0017,16.298,0.0018,0.65,0.0025,4784.643,746.985
18.317,0.011,17.745,0.008,0.572,0.0136,4769.176,819.14
17.647,0.018,17.1,0.026,0.547,0.0316,4781.701,837.43
18.472,0.015,17.915,0.021,0.557,0.0258,4781.71,980.121
18.998,0.023,18.41,0.016,0.588,0.028,4783.549,974.895
18.798,0.023,18.221,0.026,0.577,0.0347,4796.921,756.875
18.475,0.01,17.863,0.038,0.612,0.0393,4810.688,852.437
17.706,0.019,17.165,0.023,0.541,0.0298,4795.347,950.998
18.791,0.004,18.193,0.0042,0.598,0.0058,4829.113,671.166
17.541,0.011,17.004,0.0025,0.537,0.0113,4813.086,840.722
18.021,0.003,17.483,0.027,0.538,0.0272,4826.985,982.548
17.187,0.003,16.583,0.036,0.604,0.0361,4858.474,776.396
18.742,0.0039,18.117,0.0041,0.625,0.0056,4883.503,780.901
18.657,0.0037,18.088,0.004,0.569,0.0055,4897.642,817.261
15.402,0.0008,14.645,0.0008,0.757,0.0012,4935.708,827.89
18.196,0.003,17.633,0.0033,0.563,0.0045,4949.916,777.934
18.987,0.0046,18.378,0.0048,0.609,0.0066,628.136,1382.649
18.797,0.0042,18.197,0.0044,0.6,0.0061,644.419,1336.063
18.784,0.0041,18.182,0.0044,0.602,0.0061,657.855,1422.412
17.097,0.0019,16.429,0.002,0.668,0.0027,665.568,1290.377
18.779,0.0041,18.185,0.0044,0.594,0.006,681.699,1425.187
18.191,0.0031,17.631,0.0034,0.56,0.0046,676.046,1764.908
17.182,0.002,16.552,0.0021,0.63,0.0029,712.142,1254.789
19.184,0.005,18.564,0.0053,0.62,0.0072,693.369,1393.354
18.685,0.004,18.096,0.0042,0.589,0.0058,696.59,1702.858
18.575,0.008,18.006,0.011,0.569,0.0136,735.927,1481.771
19.0,0.0046,18.376,0.0048,0.624,0.0066,733.502,1874.724
18.664,0.0039,18.087,0.0042,0.577,0.0057,753.331,1781.738
17.477,0.006,16.909,0.003,0.568,0.0067,765.574,1565.899
17.18,0.005,16.56,0.0,0.62,0.005,769.361,1625.257
18.981,0.003,18.381,0.005,0.6,0.0058,778.382,1666.669
17.127,0.014,16.48,0.004,0.647,0.0146,766.919,1716.273
18.303,0.002,17.741,0.001,0.562,0.0022,778.968,1812.716
17.917,0.008,17.363,0.005,0.554,0.0094,767.596,1874.358
19.275,0.001,18.639,0.01,0.636,0.01,801.764,1526.863
17.802,0.004,17.251,0.01,0.551,0.0108,790.985,1547.732
18.97,0.006,18.362,0.003,0.608,0.0067,796.661,1577.783
18.83,0.019,18.233,0.003,0.597,0.0192,803.528,1794.622
17.67,0.0025,17.134,0.0027,0.536,0.0037,831.632,1285.808
17.602,0.003,17.045,0.003,0.557,0.0042,827.655,1308.992
18.179,0.005,17.621,0.006,0.558,0.0078,831.07,1450.19
19.202,0.005,18.576,0.005,0.626,0.0071,835.933,1488.142
17.768,0.0026,17.202,0.0128,0.566,0.0131,853.044,1299.379
17.784,0.005,17.236,0.003,0.548,0.0058,857.879,1496.29
17.326,0.01,16.729,0.006,0.597,0.0117,844.425,1764.699
18.744,0.022,18.169,0.005,0.575,0.0226,844.572,1779.373
18.725,0.003,18.138,0.006,0.587,0.0067,841.235,1807.98
18.086,0.008,17.542,0.004,0.544,0.0089,860.115,1902.363
19.005,0.001,18.405,0.002,0.6,0.0022,865.662,1472.724
18.812,0.006,18.214,0.001,0.598,0.0061,865.841,1559.801
18.882,0.002,18.276,0.005,0.606,0.0054,869.346,1573.969
17.89,0.0027,17.343,0.003,0.547,0.0041,896.483,1251.165
17.577,0.004,17.016,0.001,0.561,0.0041,906.621,1334.576
17.835,0.006,17.29,0.002,0.545,0.0063,896.107,1530.498
18.482,0.01,17.908,0.009,0.574,0.0135,907.825,1821.67
17.837,0.005,17.285,0.003,0.552,0.0058,914.305,1529.361
18.814,0.007,18.218,0.003,0.596,0.0076,931.491,1600.274
19.18,0.01,18.557,0.005,0.623,0.0112,931.276,1618.756
19.272,0.0052,18.641,0.0054,0.631,0.0075,961.072,1357.815
17.572,0.007,17.015,0.005,0.557,0.0086,958.025,1614.286
18.238,0.008,17.682,0.007,0.556,0.0106,960.884,1709.312
18.777,0.007,18.179,0.011,0.598,0.013,958.815,1896.116
19.226,0.012,18.602,0.001,0.624,0.012,978.776,1322.327
18.946,0.002,18.339,0.012,0.607,0.0122,973.873,1341.193
18.983,0.007,18.37,0.005,0.613,0.0086,980.241,1473.206
19.162,0.009,18.535,0.003,0.627,0.0095,992.909,1466.567
18.187,0.007,17.629,0.003,0.558,0.0076,998.643,1874.739
17.505,0.001,16.935,0.003,0.57,0.0032,1014.296,1536.31
19.022,0.0046,18.423,0.0049,0.599,0.0067,1041.0,1221.26
19.092,0.004,18.482,0.006,0.61,0.0072,1039.918,1495.734
18.499,0.003,17.91,0.006,0.589,0.0067,1049.685,1488.875
17.722,0.003,17.17,0.003,0.552,0.0042,1059.745,1544.53
18.667,0.004,18.087,0.002,0.58,0.0045,1056.114,1728.315
18.904,0.0044,18.316,0.0047,0.588,0.0064,1072.239,1222.023
19.253,0.024,18.612,0.004,0.641,0.0243,1077.131,1272.703
18.492,0.013,17.916,0.006,0.576,0.0143,1082.533,1283.688
19.204,0.01,18.578,0.015,0.626,0.018,1077.694,1335.727
18.06,0.001,17.514,0.006,0.546,0.0061,1066.493,1401.461
18.967,0.011,18.361,0.012,0.606,0.0163,1070.199,1742.799
18.911,0.011,18.309,0.009,0.602,0.0142,1108.531,1437.843
16.987,0.008,16.298,0.002,0.689,0.0082,1111.191,1515.367
18.226,0.003,17.666,0.005,0.56,0.0058,1108.946,1675.5
18.537,0.002,17.962,0.002,0.575,0.0028,1101.506,1742.072
18.116,0.005,17.563,0.006,0.553,0.0078,1108.958,1853.327
19.201,0.007,18.564,0.01,0.637,0.0122,1103.864,1938.804
17.915,0.005,17.369,0.009,0.546,0.0103,1131.838,1862.072
18.885,0.0043,18.284,0.0046,0.601,0.0063,1149.203,1217.846
18.884,0.018,18.298,0.005,0.586,0.0187,1142.647,1409.079
18.653,0.01,18.064,0.002,0.589,0.0102,1141.779,1874.845
19.198,0.005,18.607,0.0053,0.591,0.0073,1187.253,1207.053
19.136,0.01,18.48,0.015,0.656,0.018,1186.178,1337.209
18.749,0.006,18.158,0.002,0.591,0.0063,1177.375,1428.988
19.242,0.004,18.608,0.009,0.634,0.0098,1186.463,1438.346
18.643,0.004,18.058,0.005,0.585,0.0064,1172.688,1487.581
18.849,0.008,18.252,0.004,0.597,0.0089,1181.991,1563.041
18.629,0.008,18.045,0.009,0.584,0.012,1169.966,1625.823
18.71,0.002,18.121,0.003,0.589,0.0036,1184.913,1887.986
17.305,0.001,16.705,0.006,0.6,0.0061,1170.107,1921.996
18.928,0.01,18.33,0.015,0.598,0.018,1209.542,1246.485
19.064,0.013,18.43,0.002,0.634,0.0132,1197.035,1490.941
19.07,0.008,18.455,0.005,0.615,0.0094,1207.073,1577.71
18.413,0.002,17.839,0.009,0.574,0.0092,1202.921,1914.62
17.523,0.004,16.966,0.002,0.557,0.0045,1228.898,1397.356
18.586,0.006,18.011,0.005,0.575,0.0078,1232.707,1662.893
18.27,0.009,17.709,0.005,0.561,0.0103,1234.462,1786.558
18.196,0.007,17.634,0.004,0.562,0.0081,1221.683,1939.735
17.248,0.006,16.635,0.003,0.613,0.0067,1230.341,1960.832
19.249,0.001,18.599,0.014,0.65,0.014,1251.652,1242.891
17.551,0.006,16.987,0.005,0.564,0.0078,1242.543,1327.56
