id x y Vvega err VIvega err Ivega err Vground Iground Nv  Ni wV wI xsig ysig othv othi qfitV qfitI RA Dec               
                                                                                                                        
                                                                                                                        
    54 3145.735  872.005   26.643   0.2200    1.056   0.2920   25.587   0.1920   26.955   25.556  3  3  1  1  0.135  0.027  0.000  0.000  0.771  0.411   182.5237717    18.5126112
    55 3148.576  904.358   21.331   0.0220    0.472   0.0224   20.859   0.0040   21.440   20.816  2  2  1  1  0.003  0.001  0.000  0.000  0.031  0.023   182.5237301    18.5130606
    56 3151.900  930.202   26.943   0.8400    1.142   1.0346   25.801   0.6040   27.279   25.774  3  2  1  1  0.001  0.054  0.000  0.000  0.722  0.708   182.5236814    18.5134195
    57 3173.609  789.139   25.613   0.3540    1.092   0.3560   24.521   0.0374   25.936   24.492  2  1  1  1  0.030  0.039  0.000  0.000  0.233  0.248   182.5233635    18.5114603
    58 3183.802  806.182   24.438   0.1230    0.906   0.2599   23.532   0.2290   24.704   23.497  2  2  1  1  0.031  0.013  0.000  0.000  0.137  0.121   182.5232142    18.5116970
    59 3186.197  978.251   21.178   0.0050    0.478   0.0121   20.700   0.0110   21.288   20.658  4  4  1  1  0.000  0.000  0.000  0.000  0.025  0.027   182.5231790    18.5140868
    60 3192.718  710.413   24.623   0.0260    0.805   0.0374   23.818   0.0269   24.856   23.780  1  1  1  1  0.016  0.024  0.000  0.000  0.174  0.201   182.5230836    18.5103669
    61 3237.209  892.243   19.866   0.0070    0.461   0.0086   19.405   0.0050   19.970   19.362  3  3  1  1  0.002  0.002  0.000  0.000  0.026  0.020   182.5224319    18.5128923
    62 3250.765  768.371   26.444   0.0250    0.867   0.1580   25.577   0.1560   26.698   25.541  2  2  1  1  0.151  0.001  0.322  0.500  0.781  0.745   182.5222335    18.5111718
    63 3253.074  765.585   25.384   0.1580    0.957   0.1646   24.427   0.0460   25.666   24.394  2  2  1  1  0.021  0.033  0.027  0.055  0.301  0.266   182.5221997    18.5111331
    64 3251.094  771.975   27.510   0.9800    1.212   0.9842   26.298   0.0908   27.866   26.273  2  1  1  1  0.085  0.038  0.457  0.939  1.076  1.267   182.5222287    18.5112219
    65 3278.600  947.944   27.288   0.0930    1.326   0.5027   25.962   0.4940   27.673   25.943  2  4  1  1  0.061  0.187  0.009  0.015  0.788  0.816   182.5218257    18.5136659
    66 3282.070  954.374   26.648   0.4880    1.579   0.5469   25.069   0.2470   27.093   25.062  4  4  1  1  0.074  0.082  0.005  0.003  0.572  0.509   182.5217749    18.5137552
    67 3289.720  845.548   26.043   0.4630    1.103   0.4858   24.940   0.1470   26.369   24.912  2  3  1  1  0.101  0.005  0.002  0.005  0.371  0.406   182.5216628    18.5122437
    68 3292.915  852.405   26.725   0.1860    1.509   0.2171   25.216   0.1120   27.154   25.206  3  3  1  1  0.013  0.061  0.019  0.010  0.594  0.412   182.5216160    18.5123389
