,v,v_err,i,i_err,vi,vi_err,x,y
4418,21.32,0.009,20.841,0.014,0.48311062218403933,0.0166,2502.125,3477.021
4422,20.648,0.006,20.204,0.005,0.4416692531811115,0.0078,2498.117,3610.695
4426,20.098,0.005,19.641,0.01,0.45365359712182435,0.0112,2489.744,3669.402
4427,21.023,0.004,20.534,0.007,0.48654355804237903,0.0081,2496.89,3694.377
4428,21.387,0.006,20.905,0.005,0.48057245653131686,0.0078,2498.028,3722.429
4429,20.102,0.009,19.653,0.007,0.44706458481778855,0.0114,2511.546,3719.554
4430,21.04,0.011,20.562,0.008,0.47687688208587564,0.0136,2500.375,3771.266
4432,20.844,0.001,20.385,0.005,0.45734271736438437,0.0051,2510.251,3800.806
4433,21.281,0.009,20.803,0.014,0.4899096860149409,0.0166,2535.35,3012.593
4435,20.336,0.012,19.903,0.014,0.4445376578243426,0.0184,2521.551,3043.816
4437,21.51,0.004,21.019,0.013,0.49991191490913006,0.0136,2535.552,3103.847
4441,21.021,0.013,20.567,0.008,0.46247126625619783,0.0153,2513.674,3193.585
4442,21.609,0.017,21.104,0.018,0.5131142362627612,0.0248,2517.058,3199.355
4443,21.042,0.011,20.586,0.015,0.4644340929566012,0.0186,2521.827,3189.408
4446,20.013,0.01,19.562,0.006,0.4539166044347597,0.0117,2528.103,3264.822
4448,20.328,0.007,19.883,0.007,0.4455160848838097,0.0099,2533.265,3319.823
4450,21.726,0.013,21.217,0.01,0.5119130244700733,0.0164,2525.491,3346.424
4452,20.505,0.007,20.057,0.005,0.4510841659292547,0.0086,2523.557,3375.529
4455,20.79,0.004,20.341,0.008,0.4558162487182011,0.0089,2516.629,3432.179
4457,21.536,0.016,21.03,0.008,0.5112783386391184,0.0179,2531.273,3430.945
4460,20.162,0.008,19.72,0.007,0.4443050144761883,0.0106,2530.078,3463.0
4461,21.427,0.013,20.937,0.011,0.49230501447618824,0.017,2533.077,3478.638
4463,19.862,0.009,19.389,0.004,0.4732775999713061,0.0098,2513.796,3536.762
4464,21.343,0.006,20.862,0.01,0.48155484096443124,0.0117,2536.173,3524.8
4466,21.006,0.006,20.528,0.019,0.47534511939126717,0.0199,2519.708,3709.466
4470,20.501,0.008,20.083,0.006,0.4295376578243426,0.01,2554.824,3034.034
4472,20.851,0.021,20.407,0.011,0.45480775697652115,0.0237,2557.037,3045.218
4476,19.733,0.003,19.242,0.008,0.4995705458214239,0.0085,2538.545,3144.355
4479,21.263,0.013,20.788,0.014,0.4831142362627612,0.0191,2544.421,3173.942
4481,19.65,0.005,19.12,0.006,0.5365855415628806,0.0078,2559.825,3180.506
4483,20.997,0.006,20.544,0.013,0.4579055877831492,0.0143,2542.236,3223.302
4484,21.704,0.013,21.162,0.004,0.5447811695661331,0.0136,2557.087,3336.229
4485,20.247,0.011,19.791,0.007,0.46229680670251605,0.013,2538.94,3442.385
4489,20.802,0.006,20.342,0.011,0.4580136325656943,0.0125,2551.329,3903.35
4490,20.233,0.021,19.771,0.011,0.4594161871849375,0.0237,2544.271,3954.159
4491,20.332,0.013,19.883,0.009,0.4464161871849375,0.0158,2547.027,3954.233
4495,20.554,0.012,20.11,0.011,0.4543939213749408,0.0163,2580.2,3035.656
4496,19.994,0.004,19.544,0.008,0.45976145892912645,0.0089,2583.86,3085.648
4497,21.384,0.014,20.903,0.007,0.4901666594045546,0.0157,2587.336,3081.226
