,v,v_err,i,i_err,vi,vi_err,x,y
398,20.622,0.012,20.058,0.01,0.564,0.0156,3821.072,760.106
403,20.509,0.015,19.944,0.012,0.565,0.0192,3826.429,866.357
406,20.262,0.008,19.712,0.008,0.55,0.0113,3827.857,964.632
407,19.698,0.004,19.191,0.012,0.507,0.0126,3830.522,978.027
408,18.655,0.0028,18.12,0.003,0.535,0.0041,3855.716,598.621
412,19.521,0.0041,19.008,0.004,0.513,0.0058,3839.902,727.949
413,19.997,0.005,19.481,0.01,0.516,0.0112,3857.157,837.847
416,20.56,0.003,19.976,0.018,0.584,0.0182,3856.487,861.061
421,20.03,0.006,19.505,0.003,0.525,0.0067,3849.066,985.291
426,20.254,0.006,19.714,0.011,0.54,0.0125,3883.676,663.272
427,19.722,0.006,19.211,0.012,0.511,0.0134,3885.83,757.708
431,18.628,0.006,18.081,0.008,0.547,0.01,3873.434,827.929
432,20.317,0.006,19.78,0.006,0.537,0.0085,3863.533,864.317
433,20.481,0.013,19.926,0.014,0.555,0.0191,3878.236,904.145
435,20.222,0.012,19.685,0.009,0.537,0.015,3871.136,974.941
438,19.99,0.0051,19.456,0.0056,0.534,0.0076,3894.332,634.419
442,20.462,0.008,19.952,0.012,0.51,0.0144,3912.666,752.823
443,20.07,0.009,19.539,0.009,0.531,0.0127,3910.357,801.175
445,19.224,0.009,18.711,0.005,0.513,0.0103,3899.202,870.961
447,20.262,0.009,19.713,0.007,0.549,0.0114,3908.719,927.829
448,20.471,0.002,19.913,0.01,0.558,0.0102,3895.27,983.331
452,19.68,0.0044,19.163,0.009,0.517,0.01,3927.186,682.576
453,20.63,0.003,20.051,0.004,0.579,0.005,3932.438,666.864
459,20.45,0.015,19.889,0.006,0.561,0.0162,3919.557,832.308
462,18.191,0.003,17.542,0.004,0.649,0.005,3926.389,906.668
466,20.035,0.0052,19.514,0.0058,0.521,0.0078,3949.941,600.072
470,19.37,0.006,18.878,0.014,0.492,0.0152,3949.966,812.247
473,20.513,0.005,19.94,0.008,0.573,0.0094,3957.399,937.165
476,18.907,0.009,18.405,0.002,0.502,0.0092,3954.093,979.92
477,18.829,0.003,18.278,0.0033,0.551,0.0044,3976.338,581.319
478,20.537,0.0066,19.978,0.0071,0.559,0.0097,3986.207,590.142
479,20.199,0.025,19.657,0.024,0.542,0.0347,3980.637,637.946
481,19.095,0.003,18.603,0.004,0.492,0.005,3976.398,727.729
483,19.462,0.011,18.953,0.007,0.509,0.013,3974.056,934.027
484,19.913,0.006,19.384,0.012,0.529,0.0134,3972.473,938.532
487,19.159,0.0035,18.668,0.0039,0.491,0.0052,3997.858,581.721
491,20.44,0.006,19.887,0.022,0.553,0.0228,4009.68,804.624
496,20.621,0.004,20.052,0.012,0.569,0.0126,4001.084,908.647
499,18.003,0.002,17.345,0.0021,0.658,0.0029,4020.891,567.306
502,20.377,0.0061,19.847,0.0067,0.53,0.0091,4021.855,687.844
504,19.027,0.005,18.524,0.007,0.503,0.0086,4024.735,772.591
505,19.47,0.006,18.98,0.004,0.49,0.0072,4013.694,826.081
506,20.067,0.007,19.528,0.003,0.539,0.0076,4029.549,834.909
515,20.345,0.012,19.808,0.007,0.537,0.0139,4042.429,805.35
518,20.494,0.008,19.918,0.01,0.576,0.0128,4043.495,920.919
520,19.919,0.007,19.404,0.006,0.515,0.0092,4039.91,939.893
521,20.476,0.011,19.904,0.008,0.572,0.0136,4042.319,970.444
522,19.632,0.0043,19.121,0.0048,0.511,0.0065,4081.469,525.339
523,18.504,0.0026,17.927,0.0028,0.577,0.0038,4068.392,556.525
524,18.595,0.0027,18.041,0.0029,0.554,0.004,4074.978,558.858
526,19.736,0.004,19.229,0.007,0.507,0.0081,4071.101,712.553
528,20.579,0.009,20.002,0.023,0.577,0.0247,4079.378,848.849
529,18.418,0.001,17.795,0.003,0.623,0.0032,4067.767,883.529
537,20.604,0.0068,20.04,0.0233,0.564,0.0243,4112.652,581.06
539,18.311,0.0024,17.676,0.0025,0.635,0.0034,4104.46,662.282
546,20.336,0.009,19.795,0.01,0.541,0.0135,4094.179,810.901
548,20.467,0.008,19.938,0.009,0.529,0.012,4093.722,851.915
550,19.749,0.009,19.246,0.007,0.503,0.0114,4095.585,871.228
552,18.728,0.006,18.214,0.002,0.514,0.0063,4108.393,929.061
554,20.44,0.0063,19.88,0.0068,0.56,0.0092,4117.914,573.282
561,20.058,0.009,19.519,0.006,0.539,0.0108,4124.077,717.685
567,19.703,0.008,19.197,0.008,0.506,0.0113,4133.874,918.474
570,20.435,0.007,19.88,0.009,0.555,0.0114,4129.022,943.274
575,20.266,0.005,19.719,0.009,0.547,0.0103,4139.254,858.653
577,20.367,0.017,19.804,0.006,0.563,0.018,4154.168,926.925
578,20.559,0.011,19.987,0.011,0.572,0.0156,4156.244,984.653
