v,v_err,i,i_err,vi,vi_err,x,y
16.357,0.011,15.758,0.014,0.599,0.0178,1629.151,1463.707
16.441,0.005,15.826,0.008,0.615,0.0094,1628.115,1837.761
17.242,0.009,16.606,0.007,0.636,0.0114,1676.119,1718.388
16.603,0.002,15.992,0.008,0.611,0.0082,1669.32,1758.177
16.983,0.011,16.361,0.007,0.622,0.013,1694.339,1667.452
17.387,0.008,16.727,0.004,0.66,0.0089,1694.183,1937.62
16.516,0.009,15.9,0.01,0.616,0.0135,1700.962,1932.29
18.222,0.006,17.479,0.014,0.743,0.0152,1723.261,1551.409
16.646,0.006,16.038,0.006,0.608,0.0085,1735.21,1612.667
15.894,0.0023,15.27,0.0026,0.624,0.0035,1758.672,1305.312
17.43,0.0047,16.762,0.0052,0.668,0.007,1760.28,1298.688
17.747,0.023,17.064,0.024,0.683,0.0332,1762.815,1328.797
15.677,0.007,14.977,0.007,0.7,0.0099,1755.834,1807.708
17.486,0.008,16.822,0.006,0.664,0.01,1744.674,1853.395
17.95,0.925,17.227,0.801,0.723,1.2236,1778.492,1292.676
17.734,0.003,17.072,0.018,0.662,0.0182,1778.418,1382.431
16.37,0.012,15.775,0.009,0.595,0.015,1763.139,1399.096
18.236,0.013,17.498,0.005,0.738,0.0139,1770.578,1780.736
17.212,0.0043,16.574,0.0048,0.638,0.0064,1805.014,1197.167
16.885,0.0037,16.267,0.0041,0.618,0.0055,1809.818,1223.532
17.874,0.0058,17.202,0.0064,0.672,0.0086,1800.836,1241.065
17.256,0.002,16.615,0.015,0.641,0.0151,1814.473,1436.194
16.89,0.0037,16.183,0.004,0.707,0.0054,1850.049,1172.627
16.663,0.009,16.062,0.008,0.601,0.012,1840.73,1272.653
17.937,0.007,17.236,0.007,0.701,0.0099,1862.624,1325.281
16.817,0.005,16.208,0.004,0.609,0.0064,1859.463,1443.824
17.212,0.014,16.573,0.011,0.639,0.0178,1840.304,1506.036
17.353,0.003,16.715,0.01,0.638,0.0104,1854.076,1539.395
14.719,0.0053,13.933,0.0056,0.786,0.0077,1849.203,1664.05
17.711,0.013,17.029,0.011,0.682,0.017,1851.245,1700.264
16.689,0.0034,16.092,0.0038,0.597,0.0051,1878.16,1172.267
18.092,0.0064,17.377,0.0069,0.715,0.0094,1882.024,1194.672
16.539,0.004,15.931,0.004,0.608,0.0057,1874.347,1655.763
18.2,0.01,17.461,0.007,0.739,0.0122,1864.26,1713.121
18.145,0.016,17.421,0.015,0.724,0.0219,1865.311,1843.263
16.571,0.006,15.96,0.006,0.611,0.0085,1870.322,1863.75
16.859,0.0036,16.247,0.001,0.612,0.0038,1908.669,1293.572
17.817,0.004,17.131,0.008,0.686,0.0089,1906.839,1465.463
18.251,0.01,17.505,0.015,0.746,0.018,1895.935,1821.4
17.731,0.008,17.048,0.01,0.683,0.0128,1916.462,1493.56
17.378,0.006,16.734,0.01,0.644,0.0117,1928.215,1570.822
18.04,0.007,17.313,0.01,0.727,0.0122,1915.251,1625.581
15.577,0.006,14.849,0.005,0.728,0.0078,1937.084,1901.318
17.782,0.004,17.1,0.014,0.682,0.0146,1938.54,1317.978
17.175,0.004,16.537,0.016,0.638,0.0165,1956.812,1700.332
17.915,0.009,17.217,0.01,0.698,0.0135,1947.917,1777.427
17.122,0.004,16.484,0.01,0.638,0.0108,1957.917,1881.421
15.824,0.004,15.167,0.007,0.657,0.0081,1947.135,1960.345
15.401,0.008,14.664,0.012,0.737,0.0144,1968.591,1205.893
17.095,0.008,16.463,0.002,0.632,0.0082,1976.462,1625.233
16.989,0.012,16.362,0.022,0.627,0.0251,1966.838,1789.217
17.5,0.006,16.844,0.008,0.656,0.01,1964.692,1936.532
17.16,0.005,16.513,0.005,0.647,0.0071,1973.031,1967.62
18.122,0.0065,17.404,0.007,0.718,0.0096,2002.199,1141.236
