,v,v_err,i,i_err,vi,vi_err,x,y
419,18.469,0.007,17.898,0.007,0.571,0.0099,3313.432,970.398
423,18.492,0.004,17.929,0.0046,0.563,0.0061,3342.78,774.521
424,17.567,0.0026,17.059,0.0031,0.508,0.004,3355.689,764.888
426,17.961,0.013,17.434,0.002,0.527,0.0132,3354.428,801.406
427,18.801,0.042,18.208,0.014,0.593,0.0443,3348.229,818.569
428,18.096,0.016,17.54,0.009,0.556,0.0184,3352.895,814.706
430,17.43,0.016,16.915,0.014,0.515,0.0213,3346.758,839.389
433,18.987,0.032,18.361,0.004,0.626,0.0322,3338.787,942.494
435,18.967,0.018,18.365,0.017,0.602,0.0248,3354.894,952.557
436,18.994,0.022,18.372,0.022,0.622,0.0311,3356.759,957.155
442,17.49,0.031,16.97,0.019,0.52,0.0364,3377.816,804.787
443,15.943,0.006,15.305,0.005,0.638,0.0078,3383.176,799.238
447,17.527,0.005,17.028,0.004,0.499,0.0064,3374.988,881.277
448,18.895,0.005,18.296,0.013,0.599,0.0139,3384.606,868.981
452,16.271,0.018,15.632,0.015,0.639,0.0234,3383.942,932.789
453,18.144,0.013,17.601,0.003,0.543,0.0133,3369.95,943.459
455,18.783,0.017,18.196,0.006,0.587,0.018,3387.115,964.606
460,18.699,0.022,18.107,0.028,0.592,0.0356,3404.529,792.017
462,18.061,0.012,17.536,0.037,0.525,0.0389,3388.071,834.797
466,18.935,0.006,18.329,0.007,0.606,0.0092,3399.322,908.425
467,17.613,0.014,17.095,0.01,0.518,0.0172,3390.576,917.175
470,18.505,0.003,17.921,0.016,0.584,0.0163,3409.583,926.46
473,17.764,0.0028,17.248,0.0034,0.516,0.0044,3418.209,745.323
477,16.784,0.021,16.144,0.007,0.64,0.0221,3428.321,867.739
478,18.282,0.005,17.784,0.018,0.498,0.0187,3419.999,936.308
480,17.911,0.001,17.372,0.008,0.539,0.0081,3417.925,959.165
481,18.681,0.021,18.031,0.021,0.65,0.0297,3424.153,952.823
487,18.947,0.0049,18.358,0.0056,0.589,0.0074,3460.109,754.926
490,16.811,0.0018,16.211,0.0021,0.6,0.0028,3454.387,784.275
492,17.584,0.014,17.07,0.01,0.514,0.0172,3449.246,800.234
493,18.601,0.006,18.044,0.015,0.557,0.0162,3458.416,818.476
495,18.33,0.009,17.779,0.008,0.551,0.012,3459.359,863.463
497,17.303,0.006,16.745,0.004,0.558,0.0072,3440.053,950.874
498,18.033,0.007,17.529,0.007,0.504,0.0099,3453.299,961.768
499,18.141,0.018,17.601,0.003,0.54,0.0182,3462.036,938.963
501,18.267,0.0036,17.721,0.0042,0.546,0.0055,3476.246,698.611
503,18.877,0.0047,18.266,0.0054,0.611,0.0072,3464.369,738.774
504,18.811,0.0046,18.207,0.0052,0.604,0.007,3468.118,755.649
505,18.925,0.0048,18.328,0.0055,0.597,0.0074,3469.494,766.422
506,17.626,0.01,17.103,0.007,0.523,0.0122,3463.29,834.861
509,17.679,0.007,17.141,0.012,0.538,0.0139,3469.115,908.725
510,18.476,0.007,17.916,0.009,0.56,0.0114,3468.07,935.682
511,18.876,0.019,18.277,0.018,0.599,0.0262,3469.996,921.959
512,17.54,0.013,17.027,0.002,0.513,0.0132,3465.131,939.273
513,18.355,0.009,17.795,0.002,0.56,0.0092,3470.316,957.567
515,18.845,0.005,18.184,0.008,0.661,0.0094,3487.615,952.83
516,17.03,0.008,16.476,0.008,0.554,0.0113,3465.532,974.151
517,19.01,0.011,18.394,0.013,0.616,0.017,3469.292,968.299
520,18.996,0.005,18.398,0.0057,0.598,0.0076,3503.422,732.84
521,18.515,0.004,17.96,0.0047,0.555,0.0061,3507.762,716.465
522,17.104,0.0021,16.569,0.0025,0.535,0.0032,3512.266,725.195
523,18.016,0.0032,17.514,0.0038,0.502,0.005,3509.324,723.382
524,18.83,0.0046,18.252,0.0053,0.578,0.0071,3505.156,740.016
529,18.312,0.016,17.763,0.013,0.549,0.0206,3504.031,839.164
530,17.398,0.01,16.88,0.014,0.518,0.0172,3489.073,882.753
532,18.978,0.012,18.349,0.012,0.629,0.017,3503.517,884.635
533,17.987,0.01,17.453,0.013,0.534,0.0164,3507.74,899.56
534,18.94,0.007,18.316,0.003,0.624,0.0076,3498.27,954.008
535,18.204,0.005,17.668,0.017,0.536,0.0177,3502.901,983.927
